id;nome;cnpj;data_contratacao;email;telefone;tipo_servico_prestado
1;deposit Direct;generate;2021-02-05;Kevin.Reynolds56@gmail.com;Avon Human;multi-byte primary robust
2;International Tuna Implemented;Berkshire;2021-02-04;Wava66@yahoo.com;ivory Practical Supervisor;Guam Avon
3;Specialist;B2C plum Specialist;2021-02-04;Kaley.Dicki@yahoo.com;auxiliary reboot;Metrics
4;payment local area network;Product;2021-02-04;Clemmie37@gmail.com;customized Hryvnia;Decentralized bluetooth
5;Beauty payment bandwidth;Multi-channelled Kina lime;2021-02-04;Alysson21@gmail.com;Manor fresh-thinking website;Massachusetts projection
6;Iowa Yemeni Rial;Auto Loan Account Frozen withdrawal;2021-02-04;Sophie78@hotmail.com;Investor Sports;mint green
7;Fiji Dollar Liechtenstein Internal;Gloves Tasty;2021-02-05;Gianni72@gmail.com;invoice;Pants
8;Buckinghamshire;neural Designer;2021-02-05;Uriel_Christiansen86@yahoo.com;deposit;neural Saint Helena Pound
9;Money Market Account hard drive;Home Hat;2021-02-04;Myrtie.Stoltenberg50@yahoo.com;installation;ADP Anguilla
10;Croatia tan;Fundamental Cambridgeshire;2021-02-04;Rowan69@hotmail.com;Grocery input auxiliary;zero defect
